csSRR,eps34obs,Michaelis-Menten
0.1,66.46921455,64.49056604
0.158489319,65.59144689,62.61616548
0.251188643,64.22630475,59.8796294
0.398107171,62.1264731,56.04583624
0.630957344,58.95248748,50.97399611
1,54.28564855,44.75
1.584893192,47.71709876,37.77961896
2.511886432,39.08773855,30.72945321
3.981071706,28.91671275,24.29640938
6.309573445,18.80378748,18.95514326
10,11.08926991,14.85714286
15.84893192,7.179276841,11.89950339
25.11886432,6.116183819,9.857804178
39.81071706,6.002951196,8.491317534
63.09573445,6.000008747,7.595576006
100,6.000000001,7.016393443
158.4893192,6,6.645204316
251.1886432,6,6.408665863
398.1071706,6,6.258479479
630.9573445,6,6.163340834
1000,6,6.103161398
1584.893192,6,6.065130435
2511.886432,6,6.041110464
3981.071706,6,6.025945298
